time,id,hardware_version,software_version,state,uptime,snr,seconds_to_first_nonempty_slot,pop_ping_drop_rate,downlink_throughput_bps,uplink_throughput_bps,pop_ping_latency_ms,alerts,fraction_obstructed,currently_obstructed,seconds_obstructed,obstruction_duration,obstruction_interval,direction_azimuth,direction_elevation,is_snr_above_noise_floor,wedges_fraction_obstructed,raw_wedges_fraction_obstructed,valid_s,alert_motors_stuck,alert_thermal_throttle,alert_thermal_shutdown,alert_mast_not_near_vertical,alert_unexpected_location,alert_slow_ethernet_speeds,alert_slow_ethernet_speeds_100,alert_roaming,alert_install_pending,alert_is_heating,alert_power_supply_thermal_throttle,alert_is_power_save_idle,alert_moving_while_not_mobile,alert_moving_too_fast_for_policy,alert_dbf_telem_stale,alert_low_motor_current,alert_lower_signal_than_predicted,alert_obstruction_map_reset,latitude,longitude,altitude
1733513464,ut01000000-00000000-0068a44b,rev3_proto2,2024.11.25.mr46348.1,NO_DOWNLINK,119689,,0.0,1.0,0.0,10032.775390625,0.0,131136,0.632938265800476,0,,11.565465927124,131.707305908203,0.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,
1733513494,ut01000000-00000000-0068a44b,rev3_proto2,2024.11.25.mr46348.1,SEARCHING,119719,,0.0,1.0,0.0,12633.2431640625,0.0,131136,0.632938265800476,0,,11.565465927124,131.707305908203,0.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,
1733513524,ut01000000-00000000-0068a44b,rev3_proto2,2024.11.25.mr46348.1,SEARCHING,119749,,0.0,1.0,0.0,12247.3681640625,0.0,131136,0.632938265800476,0,,11.565465927124,131.707305908203,0.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,
1733513554,ut01000000-00000000-0068a44b,rev3_proto2,2024.11.25.mr46348.1,SEARCHING,119779,,0.0,0.899999976158142,0.0,10854.8583984375,0.0,131136,0.632938265800476,0,,11.5985717773438,132.110092163086,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,
1733513584,ut01000000-00000000-0068a44b,rev3_proto2,2024.11.25.mr46348.1,CONNECTED,119809,,0.0,1.0,36817.6015625,16055.7958984375,0.0,131136,0.632938265800476,0,,11.5985717773438,132.110092163086,0.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,
1733513614,ut01000000-00000000-0068a44b,rev3_proto2,2024.11.25.mr46348.1,SEARCHING,119839,,0.0,1.0,0.0,9277.80078125,0.0,131136,0.632938265800476,0,,11.6264209747314,132.515335083008,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,
1733513644,ut01000000-00000000-0068a44b,rev3_proto2,2024.11.25.mr46348.1,SEARCHING,119869,,0.0,1.0,0.0,11593.056640625,0.0,131136,0.632938265800476,0,,11.6264209747314,132.515335083008,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,
1733513674,ut01000000-00000000-0068a44b,rev3_proto2,2024.11.25.mr46348.1,SEARCHING,119899,,0.0,1.0,0.0,10418.6513671875,0.0,131136,0.632938265800476,0,,11.6264209747314,132.515335083008,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,
1733513704,ut01000000-00000000-0068a44b,rev3_proto2,2024.11.25.mr46348.1,CONNECTED,119929,,0.0,1.0,49895.44140625,9865.0029296875,0.0,131136,0.632938265800476,0,,11.6264209747314,132.515335083008,0.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,
1733513734,ut01000000-00000000-0068a44b,rev3_proto2,2024.11.25.mr46348.1,CONNECTED,119959,,0.0,0.0,5754.5849609375,12918.4560546875,0.0,131136,0.632938265800476,0,,11.6264209747314,132.515335083008,0.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,
1733513764,ut01000000-00000000-0068a44b,rev3_proto2,2024.11.25.mr46348.1,SEARCHING,119989,,0.0,1.0,0.0,10854.8583984375,0.0,131136,0.632938265800476,0,,11.5609016418457,132.923080444336,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,
1733513794,ut01000000-00000000-0068a44b,rev3_proto2,2024.11.25.mr46348.1,NO_DOWNLINK,120019,,0.0,1.0,0.0,11408.5068359375,0.0,131136,0.632938265800476,0,,11.5439281463623,133.33332824707,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,
1733513824,ut01000000-00000000-0068a44b,rev3_proto2,2024.11.25.mr46348.1,SEARCHING,120049,,0.0,1.0,0.0,9865.0029296875,0.0,131136,0.632938265800476,0,,11.5439281463623,133.33332824707,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,
1733513854,ut01000000-00000000-0068a44b,rev3_proto2,2024.11.25.mr46348.1,SEARCHING,120079,,0.0,1.0,0.0,11140.0712890625,0.0,131136,0.632938265800476,0,,11.5439281463623,133.33332824707,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,
1733513884,ut01000000-00000000-0068a44b,rev3_proto2,2024.11.25.mr46348.1,CONNECTED,120109,,0.0,0.0,145374.578125,10854.8583984375,0.0,131136,0.632938265800476,0,,11.5439281463623,133.33332824707,0.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,
1733513914,ut01000000-00000000-0068a44b,rev3_proto2,2024.11.25.mr46348.1,CONNECTED,120139,,0.0,0.0,47269.8046875,11408.5068359375,0.0,131136,0.632938265800476,0,,11.5439281463623,133.33332824707,0.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,
1733513944,ut01000000-00000000-0068a44b,rev3_proto2,2024.11.25.mr46348.1,CONNECTED,120169,,0.0,0.0,8497.66015625,10854.8583984375,0.0,131136,0.632938265800476,0,,11.5439281463623,133.33332824707,0.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,
1733513974,ut01000000-00000000-0068a44b,rev3_proto2,2024.11.25.mr46348.1,SEARCHING,120199,,0.0,1.0,0.0,11811.16015625,0.0,131136,0.632938265800476,0,,11.5439281463623,133.33332824707,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,
1733514004,ut01000000-00000000-0068a44b,rev3_proto2,2024.11.25.mr46348.1,SEARCHING,120229,,0.0,1.0,0.0,10586.4228515625,0.0,131136,0.632938265800476,0,,11.5439281463623,133.33332824707,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,
1733514034,ut01000000-00000000-0068a44b,rev3_proto2,2024.11.25.mr46348.1,SEARCHING,120259,,0.0,1.0,0.0,11140.0712890625,0.0,131136,0.632938265800476,0,,11.5439281463623,133.33332824707,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,
1733514064,ut01000000-00000000-0068a44b,rev3_proto2,2024.11.25.mr46348.1,SEARCHING,120289,,0.0,1.0,0.0,9865.0029296875,0.0,131136,0.632938265800476,0,,11.5439281463623,133.33332824707,0.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,
1733514094,ut01000000-00000000-0068a44b,rev3_proto2,2024.11.25.mr46348.1,SEARCHING,120319,,0.0,1.0,0.0,10972.298828125,0.0,131136,0.632938265800476,0,,11.5439281463623,133.33332824707,0.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,
1733514124,ut01000000-00000000-0068a44b,rev3_proto2,2024.11.25.mr46348.1,NO_DOWNLINK,120349,,0.0,1.0,0.0,9865.0029296875,0.0,131136,0.632938265800476,0,,11.5439281463623,133.33332824707,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,
1733514154,ut01000000-00000000-0068a44b,rev3_proto2,2024.11.25.mr46348.1,CONNECTED,120379,,0.0,0.0,174575.328125,10854.8583984375,0.0,131136,0.632938265800476,0,,11.5439281463623,133.33332824707,0.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,
1733514184,ut01000000-00000000-0068a44b,rev3_proto2,2024.11.25.mr46348.1,SEARCHING,120409,,0.0,1.0,0.0,11618.2216796875,0.0,131136,0.632938265800476,0,,11.5439281463623,133.33332824707,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,
1733514214,ut01000000-00000000-0068a44b,rev3_proto2,2024.11.25.mr46348.1,SEARCHING,120439,,0.0,1.0,0.0,9865.0029296875,0.0,131136,0.632938265800476,0,,11.5439281463623,133.33332824707,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,
1733514244,ut01000000-00000000-0068a44b,rev3_proto2,2024.11.25.mr46348.1,SEARCHING,120469,,0.0,1.0,0.0,9865.0029296875,0.0,131136,0.632938265800476,0,,11.5439281463623,133.33332824707,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,
